Triads,TPMA,TPMB,TPMC
Mhu01Ag04890_Mhu01Bg03860_Mhu01Cg03780,2.73215,2.33333,2.33333
Mhu01Ag04900_Mhu01Bg03870_Mhu01Cg03790,2.37321,2.33333,2.75274
Mhu01Ag04980_Mhu01Bg03900_Mhu01Cg04070,2.33333,2.33333,2.33333
Mhu01Ag05010_Mhu01Bg03930_Mhu01Cg04030,96.6653,97.6737,64.2065
Mhu01Ag05070_Mhu01Bg03980_Mhu01Cg03980,7.61836,10.3725,8.60935
Mhu01Ag05080_Mhu01Bg03990_Mhu01Cg03970,3.29778,2.33333,2.92689
Mhu01Ag05170_Mhu01Bg04070_Mhu01Cg03890,2.44472,2.38755,2.42771
Mhu01Ag05210_Mhu01Bg04130_Mhu01Cg04130,2.33333,2.33333,2.33333
Mhu01Ag05250_Mhu01Bg04180_Mhu01Cg04190,3.06182,2.33333,3.16686
Mhu01Ag05310_Mhu01Bg04220_Mhu01Cg04220,13.6065,9.33631,18.8647
Mhu01Ag05410_Mhu01Bg04310_Mhu01Cg04310,2.33333,9.27763,12.0175
Mhu01Ag05420_Mhu01Bg04320_Mhu01Cg04330,24.2043,15.0897,7.23342
Mhu01Ag05430_Mhu01Bg04330_Mhu01Cg04340,2.95135,2.43647,7.49243
Mhu01Ag05540_Mhu01Bg04430_Mhu01Cg04400,2.33333,2.33333,2.43554
Mhu01Ag05570_Mhu01Bg04460_Mhu01Cg04430,2.33333,2.33333,2.33333
Mhu01Ag05640_Mhu01Bg04560_Mhu01Cg04530,3.33078,2.91825,8.18008
Mhu01Ag05650_Mhu01Bg04570_Mhu01Cg04540,18.1575,14.056,6.26826
Mhu01Ag05700_Mhu01Bg04610_Mhu01Cg04610,18.8277,8.40059,5.52406
Mhu01Ag05750_Mhu01Bg04650_Mhu01Cg04660,6.45146,2.8938,2.77253
Mhu01Ag05790_Mhu01Bg04720_Mhu01Cg04680,9.66685,20.6684,38.1017
Mhu01Ag05800_Mhu01Bg04740_Mhu01Cg04700,43.5563,2.33333,29.3737
Mhu01Ag05820_Mhu01Bg04760_Mhu01Cg04720,23.9134,3.76759,16.3737
Mhu01Ag05850_Mhu01Bg04770_Mhu01Cg04740,104.896,111.398,93.4625
Mhu01Ag05860_Mhu01Bg04780_Mhu01Cg04750,3.61262,2.33333,2.58676
Mhu01Ag05900_Mhu01Bg04840_Mhu01Cg04990,2.33333,2.51478,2.33333
Mhu01Ag05930_Mhu01Bg04890_Mhu01Cg04950,13.3081,10.5141,3.51185
Mhu01Ag06000_Mhu01Bg04950_Mhu08Cg08920,88.2226,51.8665,15.7184
Mhu01Ag06180_Mhu01Bg05190_Mhu08Cg08730,8.05458,11.4312,8.94867
Mhu01Ag06190_Mhu01Bg05210_Mhu08Cg08710,10.1469,33.3064,22.9565
Mhu01Ag06200_Mhu01Bg05220_Mhu08Cg08700,2.33333,2.33333,2.33333
Mhu01Ag06210_Mhu01Bg05230_Mhu08Cg08690,2.33333,2.33333,2.33333
Mhu01Ag06250_Mhu01Bg05260_Mhu08Cg08670,15.7152,45.7438,20.1498
Mhu01Ag06310_Mhu01Bg05290_Mhu08Cg08550,21.4224,6.20859,11.1346
Mhu01Ag06360_Mhu01Bg05330_Mhu08Cg08540,12.5284,13.5622,15.2475
Mhu01Ag06390_Mhu01Bg05350_Mhu08Cg08510,6.66374,8.69172,4.69967
Mhu01Ag06400_Mhu01Bg05360_Mhu08Cg08500,13.9101,11.1799,15.3536
Mhu01Ag06410_Mhu01Bg05370_Mhu08Cg08490,7.09504,30.6807,8.52967
